	Tip of nose	Tip of incisor	Left_nasal-oral cavity	Right_nasal-oral cavity	Temple	Auditory pit	Top of orbit	Bottom of orbit
1.jpg	2207|1081	0	1581|1159	2016|1136	1410|801	1239|955	1893|684	1866|902
2.jpg	2203|1033	0	1592|1033	1989|1071	1427|681	1285|856	1987|574	1902|859
3.jpg	2345|1189	0	1644|1174	2105|1223	1467|718	1257|883	2122|704	1991|933
4.jpg	2239|1065	0	1589|1078	2027|1107	1429|706	1223|849	1965|627	1919|851
5.jpg	2309|1113	0	1594|1177	2069|1175	1430|757	1233|922	2033|680	1971|926
6.jpg	2259|1025	0	1613|1062	2073|1062	1448|684	1242|862	1993|586	1926|844
7.jpg	2305|1105	0	1634|1157	2110|1144	1424|714	1218|915	2047|659	1982|904
8.jpg	2151|1061	0	1546|1091	1985|1096	1378|739	1220|891	1909|610	1844|885
9.jpg	2287|1079	0	1611|1113	2128|1084	1448|684	1228|849	2040|620	1979|878
10.jpg	2271|1093	0	1645|1121	2069|1115	1474|723	1278|888	2020|644	1945|854
11.jpg	2195|1097	0	1598|1111	2036|1114	1399|736	1203|890	1980|670	1906|893
12.jpg	2239|1139	0	1633|1152	2093|1151	1457|771	1244|896	2039|694	1954|927
13.jpg	2343|1157	0	1651|1190	2149|1190	1452|744	1242|949	2083|647	1973|909
14.jpg	2303|1013	0	1640|1083	2102|1049	1436|671	1226|830	2047|573	1939|810
15.jpg	2257|1107	0	1615|1096	2032|1145	1433|693	1228|843	1978|631	1913|887
